snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization,fake+discarded
0,1795_1912,2,1,0.000202225606445832,0.54432476972899,0.9024,0.5042,0,1634,4637,3003,1634
0,1795_1912,4,1,0.000583416086416681,0.202753041332965,0.8353,0.5021,729,296,4637,5070,1025
0,1795_1912,6,1,0.00115893222270217,0.18728314605918,0.7912,0.5034,699,248,4637,5088,947
0,1795_1912,8,1,0.00162493387196765,0.186505623665431,0.7616,0.5026,636,286,4637,4987,922
0,1795_1912,10,1,0.00211094896026336,0.187023369342429,0.7441,0.5018,658,271,4637,5024,929
0,1795_1912,10,2,0.00222721745278834,0.177743146124397,0.7418,0.501,615,261,4637,4991,876
0,1795_1912,10,3,0.00225019782731794,0.178021211735804,0.7404,0.5016,598,274,4637,4961,872
0,1795_1912,10,4,0.00226873210346708,0.186004282701723,0.7416,0.5026,600,306,4637,4931,906
1,1795_1912,2,1,0.000197085588586949,0.538050936806494,0.9031,0.5053,0,1634,4672,3038,1634
1,1795_1912,4,1,0.000563257850295911,0.199229663027782,0.8355,0.5031,720,293,4672,5099,1013
1,1795_1912,6,1,0.00116092585364405,0.187554401087382,0.7881,0.5034,646,291,4672,5027,937
1,1795_1912,8,1,0.00177177980833351,0.189574687724327,0.7614,0.5012,605,325,4672,4952,930
1,1795_1912,10,1,0.00222054529592504,0.183746649713596,0.7459,0.5013,606,298,4672,4980,904
1,1795_1912,10,2,0.00214522500521191,0.179535483574063,0.7434,0.5018,601,284,4672,4989,885
1,1795_1912,10,3,0.00233374768658616,0.182819593902206,0.7462,0.502,604,295,4672,4981,899
1,1795_1912,10,4,0.00214037191942911,0.173700188176669,0.7435,0.5027,597,262,4672,5007,859
2,1913_1941,2,1,0.000189147690850038,0.538095284874966,0.9031,0.5047,0,1639,4686,3047,1639
2,1913_1941,4,1,0.00057672090724648,0.205518866425976,0.8377,0.5021,729,316,4686,5099,1045
2,1913_1941,6,1,0.00111777942814077,0.197595274535773,0.7898,0.503,714,290,4686,5110,1004
2,1913_1941,8,1,0.00166712059010654,0.183952608925417,0.765,0.5028,647,275,4686,5058,922
2,1913_1941,10,1,0.00205092400170497,0.17516216730926,0.7441,0.5015,615,258,4686,5043,873
2,1913_1941,10,2,0.00207561459125235,0.185101591192482,0.7443,0.5024,640,283,4686,5043,923
2,1913_1941,10,3,0.00218610596989481,0.192461372194528,0.7446,0.5026,619,328,4686,4977,947
2,1913_1941,10,4,0.00224681768694148,0.179597677140935,0.743,0.503,568,309,4686,4945,877
3,1913_1941,2,1,0.000190582679578102,0.535565774103774,0.904,0.5042,0,1748,5013,3265,1748
3,1913_1941,4,1,0.000588584537241362,0.207932391625294,0.8411,0.5014,798,337,5013,5474,1135
3,1913_1941,6,1,0.00105749422239306,0.192699614988225,0.7957,0.5029,730,311,5013,5432,1041
3,1913_1941,8,1,0.00145442572254847,0.189560316848574,0.7702,0.503,680,329,5013,5364,1009
3,1913_1941,10,1,0.00192860872561733,0.185071360477738,0.7492,0.5029,701,292,5013,5422,993
3,1913_1941,10,2,0.00231263367656078,0.177232003815054,0.7501,0.5024,590,332,5013,5271,922
3,1913_1941,10,3,0.00202698934062439,0.186736810769196,0.7517,0.503,678,315,5013,5376,993
3,1913_1941,10,4,0.00220101590767029,0.185323863209622,0.7484,0.5045,585,372,5013,5226,957
4,1942_1968,2,1,0.000166059830745443,0.540113840509597,0.906,0.5055,0,2068,5898,3830,2068
4,1942_1968,4,1,0.000491416138680504,0.211878644826947,0.8491,0.5028,902,442,5898,6358,1344
4,1942_1968,6,1,0.000875617690494111,0.197470288981681,0.8063,0.5043,846,401,5898,6343,1247
4,1942_1968,8,1,0.00152509979344947,0.193648058487013,0.7817,0.5042,774,426,5898,6246,1200
4,1942_1968,10,1,0.00183364470425682,0.186959466150001,0.7633,0.5029,748,407,5898,6239,1155
4,1942_1968,10,2,0.0017185202183097,0.189582063686318,0.7642,0.5036,829,366,5898,6361,1195
4,1942_1968,10,3,0.00178997821772309,0.181774092594212,0.7604,0.5047,765,368,5898,6295,1133
4,1942_1968,10,4,0.00176062827163513,0.196080985642407,0.7641,0.504,794,424,5898,6268,1218
